číselník,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_en
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-profil-výzkumníka,Researcher profile,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-profil-výzkumníka/položky/R1,R1,First Stage Researcher (R1)
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-profil-výzkumníka,Researcher profile,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-profil-výzkumníka/položky/R2,R2,Recognised Researcher (R2)
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-profil-výzkumníka,Researcher profile,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-profil-výzkumníka/položky/R3,R3,Established Researcher (R3)
https://data.mff.cuni.cz/zdroj/číselníky/euraxess-profil-výzkumníka,Researcher profile,https://data.mff.cuni.cz/zdroj/číselníky/euraxess-profil-výzkumníka/položky/R4,R4,Leading Researcher (R4)
