číselník,číselník_název_cs,číselník_název_en,položka,položka_kód,položka_název_cs,položka_název_en
https://data.mff.cuni.cz/zdroj/číselníky/akademické-pozice,Akademické pozice MFF UK,Roles at FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/akademické-pozice/položky/profesor,profesor,Profesor/ka,Full Professor
https://data.mff.cuni.cz/zdroj/číselníky/akademické-pozice,Akademické pozice MFF UK,Roles at FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/akademické-pozice/položky/docent,docent,Docent/ka,Associate Professor
https://data.mff.cuni.cz/zdroj/číselníky/akademické-pozice,Akademické pozice MFF UK,Roles at FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/akademické-pozice/položky/OA,OA,"Odborný asistent, odborná asistentka",Assistant Professor
https://data.mff.cuni.cz/zdroj/číselníky/akademické-pozice,Akademické pozice MFF UK,Roles at FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/akademické-pozice/položky/VP,VP,"Vědecký pracovník, věděcká pracovnice",Academic Researcher
https://data.mff.cuni.cz/zdroj/číselníky/akademické-pozice,Akademické pozice MFF UK,Roles at FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/akademické-pozice/položky/lektor,lektor,Lektor/ka,Lecturer
https://data.mff.cuni.cz/zdroj/číselníky/akademické-pozice,Akademické pozice MFF UK,Roles at FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/akademické-pozice/položky/vedoucí-katedry,vedoucí-katedry,Vedoucí katedry,Head of Department
