číselník,číselník_název_cs,číselník_název_en,položka,položka_kód,položka_název_cs,položka_název_en
https://data.mff.cuni.cz/zdroj/číselník/sekce,Sekce MFF UK,Schools of FMP CUNI,https://data.mff.cuni.cz/zdroj/číselník/sekce/informatika,informatika,Informatická sekce,School of Computer Science
https://data.mff.cuni.cz/zdroj/číselník/sekce,Sekce MFF UK,Schools of FMP CUNI,https://data.mff.cuni.cz/zdroj/číselník/sekce/fyzika,fyzika,Fyzikální sekce,School of Physics
https://data.mff.cuni.cz/zdroj/číselník/sekce,Sekce MFF UK,Schools of FMP CUNI,https://data.mff.cuni.cz/zdroj/číselník/sekce/matematika,matematika,Matematikcká sekce,School of Mathematics
