číselník,číselník_název_cs,číselník_název_en,položka,položka_kód,položka_název_cs,položka_název_en
https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk,Fakulty UK,Faculties of CUNI,https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk/položky/KTF,KTF,Katolická teologická fakulta,Catholic Theological Faculty
https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk,Fakulty UK,Faculties of CUNI,https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk/položky/ETF,ETF,Evangelická teologická fakulta,Protestant Theological Faculty
https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk,Fakulty UK,Faculties of CUNI,https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk/položky/HTF,HTF,Husitská teologická fakulta,Hussite Theological Faculty
https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk,Fakulty UK,Faculties of CUNI,https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk/položky/PF,PF,Právnická fakulta,Faculty of Law
https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk,Fakulty UK,Faculties of CUNI,https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk/položky/1.LF,1. LF,1. lékařská fakulta,First Faculty of Medicine
https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk,Fakulty UK,Faculties of CUNI,https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk/položky/2.LF,2. LF,2. lékařská fakulta,Second Faculty of Medicine
https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk,Fakulty UK,Faculties of CUNI,https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk/položky/3.LF,3. LF,3. lékařská fakulta,Third Faculty of Medicine
https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk,Fakulty UK,Faculties of CUNI,https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk/položky/LFPL,LFPL,Lékařská fakulta v Plzni,Faculty of Medicine in Plzeň
https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk,Fakulty UK,Faculties of CUNI,https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk/položky/LFHK,LFHK,Lékařská fakulta v Hradci Králové,Faculty of Medicine in Hradec Králové
https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk,Fakulty UK,Faculties of CUNI,https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk/položky/FaF,FaF,Farmaceutická fakulta v Hradci Králové,Faculty of Pharmacy in Hradec Králové
https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk,Fakulty UK,Faculties of CUNI,https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk/položky/FF,FF,Filozofická fakulta,Faculty of Arts
https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk,Fakulty UK,Faculties of CUNI,https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk/položky/PřF,PřF,Přírodovědecká fakulta,Faculty of Science
https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk,Fakulty UK,Faculties of CUNI,https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk/položky/MFF,MFF,Matematicko-fyzikální fakulta,Faculty of Mathematics and Physics
https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk,Fakulty UK,Faculties of CUNI,https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk/položky/PedF,PedF,Pedagogická fakulta,Faculty of Education
https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk,Fakulty UK,Faculties of CUNI,https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk/položky/FSV,FSV,Fakulta sociálních věd,Faculty of Social Sciences
https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk,Fakulty UK,Faculties of CUNI,https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk/položky/FTVS,FTVS,Fakulta tělesné výchovy a sportu,Faculty of Physical Education and Sport
https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk,Fakulty UK,Faculties of CUNI,https://data.mff.cuni.cz/zdroj/číselníky/fakulty-uk/položky/FHS,FHS,Fakulta humanitních studií,Faculty of Humanities
