číselník,číselník_název_cs,číselník_název_en,číselník_položka,číselník_položka_kód,číselník_položka_název_en,číselník_položka_nadřazená
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/20900,20900,2.9 Industrial biotechnology,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/20000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/21000,21000,2.10 Nano-technology,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/20000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/21100,21100,2.11 Other engineering and technologies,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/20000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/30100,30100,3.1 Basic medicine,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/30000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/30200,30200,3.2 Clinical medicine,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/30000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/30300,30300,3.3 Health sciences,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/30000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/30400,30400,3.4 Medical biotechnology,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/30000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/30500,30500,3.5 Other medical sciences,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/30000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/40100,40100,"4.1 Agriculture, Forestry, and Fisheries",https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/40000
https://data.mff.cuni.cz/zdroj/číselníky/ford,Kódy oborů OECD FORD - Frascati manual,Fields of Research and Development classification (FORD) - Frascati manual,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/40200,40200,4.2 Animal and Dairy science,https://data.mff.cuni.cz/zdroj/číselníky/ford/položky/40000
